4FGL-DR4,source_type,glat,glon,variability,significance,class1,assoc_prob,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0000.3-7355,unID-blazar,-42.730,307.709,12.835,8.493,,0.000,unID,{},0.052,,1.648,0.015,0.184,-0.351,2.852,0.278,0.170
4FGL J0000.5+0743,unID-pulsar,-53.029,101.656,25.569,5.681,,0.000,unID,{},0.153,,1.208,0.049,0.909,-0.322,0.491,0.579,0.650
4FGL J0000.7+2530,unID-blazar,-35.959,108.775,13.149,4.197,,0.000,unID,{},0.083,,10.111,0.009,0.753,-0.351,6.128,0.741,0.000
4FGL J0001.2+4741,bcu_unk-blazar,-14.338,114.250,28.916,5.524,bcu,0.996,bcu_unk,{},0.060,,0.100,0.043,0.024,0.060,,0.218,0.000
4FGL J0001.2-0747,bll-blazar,-67.305,89.033,51.742,24.497,bll,0.997,bll,{},0.030,blazar,0.796,0.723,0.102,-0.496,0.767,0.067,0.000
4FGL J0001.4-0010,bll-blazar,-60.491,96.892,9.374,5.252,bll,0.992,bll,{},0.059,blazar,15.476,0.013,0.265,-0.442,18.472,0.603,0.000
4FGL J0001.5+2113,fsrq-blazar,-40.168,107.649,1861.603,46.426,fsrq,0.998,fsrq,{},0.042,blazar,0.100,141.801,0.319,-0.288,0.019,0.043,0.000
4FGL J0001.6+3503,unID-pulsar,-26.710,111.538,11.199,6.475,,0.000,unID,{},0.102,,1.452,0.059,1.459,-0.133,0.412,0.820,1.000
4FGL J0001.6-4156,bcu_unk-blazar,-72.029,334.226,25.609,17.982,bcu,0.996,bcu_unk,{},0.069,,33.178,0.186,0.146,-0.698,44.274,0.108,0.000
4FGL J0002.1-6728,bll-blazar,-48.963,310.085,10.371,16.673,bll,0.997,bll,{},0.035,blazar,9.325,0.117,0.374,-0.426,3.358,0.156,0.000
4FGL J0002.1+6721,bcu_unk-pulsar,4.939,118.203,7.721,6.391,unk,0.000,bcu_unk,"{1,4,6}",0.155,,0.421,1.846,0.519,1.041,0.271,0.214,0.590
4FGL J0002.3-0815,bcu_unk-blazar,-67.848,89.043,13.427,5.269,bcu,0.981,bcu_unk,{},0.068,,2.765,0.012,0.294,-0.507,2.473,0.306,0.000
4FGL J0002.4-5156,bcu_unk-blazar,-63.539,319.999,19.805,5.811,bcu,0.980,bcu_unk,{},0.156,,7.647,0.009,0.738,-0.633,4.038,0.587,0.010
4FGL J0002.7+7220,spp-blazar,9.829,119.209,15.752,5.669,spp,0.800,spp,{3},0.111,,0.550,0.116,0.282,0.416,1.350,0.341,0.100
4FGL J0002.8+6217,psr,-0.051,117.320,15.380,35.793,PSR,1.000,psr,{},0.034,pulsar,0.829,23.324,0.792,0.775,0.116,0.119,0.960
4FGL J0003.1-5248,bcu_unk-blazar,-62.789,318.990,12.577,19.605,bcu,0.983,bcu_unk,{},0.033,,14.963,0.138,0.095,-0.600,18.658,0.090,0.000
4FGL J0003.1-1543,sey-blazar,-74.024,75.988,13.488,4.728,sey,0.946,sey,{},0.105,,4.589,0.007,0.396,-0.592,3.595,0.459,0.000
4FGL J0003.2+2207,bll-blazar,-39.381,108.439,13.483,5.552,bll,,bll,{2},0.097,blazar,4.823,0.032,2.000,-0.270,,,0.010
4FGL J0003.3-0703,bcu_unk-blazar,-66.915,91.095,7.497,4.739,bcu,0.000,bcu_unk,{9},0.125,,27.758,0.010,0.223,-0.425,42.981,0.270,0.000
4FGL J0003.3+2511,unID-pulsar,-36.411,109.382,23.774,8.634,,0.000,unID,{2},0.102,,0.879,0.097,0.684,-0.317,0.383,0.396,0.840
4FGL J0003.3-1928,bcu_unk-blazar,-76.581,65.198,58.548,16.836,bcu,0.997,bcu_unk,{},0.071,,0.820,0.300,0.468,-0.685,0.273,0.178,0.010
4FGL J0003.3-5905,bcu_unk-blazar,-56.966,314.239,11.475,8.187,bcu,0.980,bcu_unk,{3},0.129,,0.100,0.066,-0.012,-0.612,,0.137,0.000
4FGL J0003.5+0717,bcu_unk-pulsar,-53.674,102.594,12.027,5.473,bcu,0.979,bcu_unk,{},0.093,,2.234,0.023,0.930,-0.262,0.899,0.627,0.860
4FGL J0003.6+3059,unID-pulsar,-30.772,111.004,7.740,14.015,,0.000,unID,{},0.081,,1.660,0.308,1.329,-0.225,0.242,0.452,1.000
4FGL J0003.9-1149,bll-blazar,-71.075,84.595,7.867,13.405,bll,0.998,bll,{},0.052,blazar,1.330,0.118,0.404,-0.579,0.489,0.183,0.180
4FGL J0004.0+5715,unID-blazar,-5.023,116.526,13.592,9.074,,0.000,unID,{},0.085,,0.415,0.358,0.306,0.496,0.420,0.184,0.240
4FGL J0004.0+0840,bll-blazar,-52.398,103.496,19.498,6.878,bll,0.992,bll,{},0.082,blazar,4.612,0.049,0.875,-0.236,1.349,0.475,0.000
4FGL J0004.3+4614,fsrq-blazar,-15.855,114.489,148.108,11.246,fsrq,0.999,fsrq,{},0.084,blazar,0.118,1.731,0.280,-0.069,0.126,0.129,0.030
4FGL J0004.4-4737,fsrq-blazar,-67.538,323.986,189.314,23.339,fsrq,0.997,fsrq,{},0.045,blazar,0.100,1.239,0.142,-0.682,0.103,0.087,0.000
4FGL J0004.4-4001,unID-blazar,-73.845,336.991,38.814,11.001,,0.000,unID,{3},0.136,,0.721,0.061,0.186,-0.723,0.877,0.178,0.000
4FGL J0005.5+6634,unID-pulsar,4.110,118.389,6.913,4.592,,0.000,unID,{4},0.183,,0.355,1.678,0.809,1.019,0.158,0.288,0.570
