4FGL-v30,source_type,glat,glon,variability,significance,class1,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0000.3-7355,unID-bll,-42.730,307.709,14.602,7.460,,unID,{},0.052,,1.648,0.015,0.184,,2.852,0.278,0.000
4FGL J0000.5+0743,unID-bll,-53.029,101.656,25.400,5.272,,unID,{},0.153,,1.208,0.049,0.909,,0.491,0.579,0.120
4FGL J0000.7+2530,unID-bll,-35.959,108.775,13.651,4.177,,unID,{},0.083,,10.111,0.009,0.753,,6.128,0.741,0.000
4FGL J0001.2+4741,unID-bll,-14.338,114.250,25.314,4.693,bcu,unID,{},0.060,,0.100,0.043,0.024,,,0.218,0.000
4FGL J0001.2-0747,bll-bll,-67.305,89.033,46.781,23.782,bll,bll,{},0.030,bll,0.796,0.723,0.102,,0.767,0.067,0.000
4FGL J0001.4-0010,bll-bll,-60.491,96.892,9.273,4.900,bll,bll,{},0.059,bll,15.476,0.013,0.265,,18.472,0.603,0.000
4FGL J0001.5+2113,fsrq-fsrq,-40.168,107.649,1910.936,54.653,fsrq,fsrq,{},0.042,fsrq,0.100,141.801,0.319,,0.019,0.043,0.000
4FGL J0001.6+3503,unID-pulsar,-26.710,111.538,7.702,6.093,,unID,{},0.102,,1.452,0.059,1.459,,0.412,0.820,0.370
4FGL J0001.6-4156,unID-bll,-72.029,334.226,26.393,15.724,bcu,unID,{2},0.069,,33.178,0.186,0.146,,44.274,0.108,0.000
4FGL J0001.8-2153,unID-bll,-77.573,55.185,24.558,4.578,bcu,unID,{},0.121,,6.281,0.014,0.812,,2.626,0.594,0.000
4FGL J0002.1-6728,bll-bll,-48.963,310.085,12.531,15.477,bll,bll,{},0.035,bll,9.325,0.117,0.374,,3.358,0.156,0.000
4FGL J0002.1+6721,unID-pulsar,4.939,118.203,10.412,7.747,unk,unID,"{1,6}",0.155,,0.421,1.846,0.519,,0.271,0.214,0.580
4FGL J0002.3-0815,unID-bll,-67.848,89.043,13.014,5.100,bcu,unID,{},0.068,,2.765,0.012,0.294,,2.473,0.306,0.000
4FGL J0002.4-5156,unID-bll,-63.539,319.999,17.686,4.559,bcu,unID,{},0.156,,7.647,0.009,0.738,,4.038,0.587,0.000
4FGL J0002.7+7220,spp-fsrq,9.829,119.209,14.037,5.043,spp,spp,{},0.111,,0.550,0.116,0.282,,1.350,0.341,0.040
4FGL J0002.8+6217,psr,-0.051,117.320,13.166,32.332,PSR,psr,{},0.034,pulsar,0.829,23.324,0.792,,0.116,0.119,0.980
4FGL J0003.1-5248,unID-bll,-62.789,318.990,7.998,17.979,bcu,unID,{},0.033,,14.963,0.138,0.095,,18.658,0.090,0.000
4FGL J0003.2+2207,bll-bll,-39.381,108.439,12.452,5.148,bll,bll,{12},0.097,bll,4.823,0.032,2.000,,,,0.010
4FGL J0003.3+2511,unID-fsrq,-36.411,109.382,7.732,7.740,,unID,{},0.102,,0.879,0.097,0.684,,0.383,0.396,0.250
4FGL J0003.3-1928,unID-fsrq,-76.581,65.198,49.880,16.581,bcu,unID,{},0.071,,0.820,0.300,0.468,,0.273,0.178,0.000
4FGL J0003.3-5905,unID-bll,-56.966,314.239,10.148,6.910,bcu,unID,{3},0.129,,0.100,0.066,-0.012,,,0.137,0.000
4FGL J0003.5+0717,unID-bll,-53.674,102.594,10.952,4.889,bcu,unID,{},0.093,,2.234,0.023,0.930,,0.899,0.627,0.100
4FGL J0003.6+3059,unID-pulsar,-30.772,111.004,5.093,13.172,,unID,{},0.081,,1.660,0.308,1.329,,0.242,0.452,0.840
4FGL J0003.9-1149,bll-bll,-71.075,84.595,7.358,12.558,bll,bll,{},0.052,bll,1.330,0.118,0.404,,0.489,0.183,0.050
4FGL J0004.0+5715,unID-fsrq,-5.023,116.526,12.611,8.704,,unID,{},0.085,,0.415,0.358,0.306,,0.420,0.184,0.130
4FGL J0004.0+0840,bll-bll,-52.398,103.496,15.306,7.296,bll,bll,{},0.082,bll,4.612,0.049,0.875,,1.349,0.475,0.000
4FGL J0004.3+4614,fsrq-fsrq,-15.855,114.489,139.037,11.401,fsrq,fsrq,{},0.084,fsrq,0.118,1.731,0.280,,0.126,0.129,0.000
4FGL J0004.4-4737,fsrq-fsrq,-67.538,323.986,153.286,19.655,fsrq,fsrq,{},0.045,fsrq,0.100,1.239,0.142,,0.103,0.087,0.000
4FGL J0004.4-4001,unID-bll,-73.845,336.991,35.728,10.599,,unID,{},0.136,,0.721,0.061,0.186,,0.877,0.178,0.000
4FGL J0005.6+6746,unID-fsrq,5.282,118.608,14.458,4.877,,unID,"{4,5,6}",0.189,,0.434,1.255,0.829,,0.233,0.395,0.450
4FGL J0005.9+3824,fsrq-fsrq,-23.613,113.232,41.211,16.607,fsrq,fsrq,{},0.093,fsrq,0.121,3.865,0.372,,0.073,0.128,0.000
4FGL J0006.3-1813,unID-bll,-76.319,71.150,14.361,4.067,,unID,{},0.082,,0.493,0.006,0.090,,3.255,0.269,0.000
4FGL J0006.3-0620,bll-bll,-66.625,93.647,23.379,5.253,bll,bll,{},0.109,bll,1.362,0.015,0.249,,1.436,0.303,0.000
4FGL J0006.4+0135,bll-bll,-59.297,100.477,4.881,6.519,bll,bll,{},0.073,bll,3.525,0.029,0.688,,1.283,0.430,0.010
4FGL J0006.4-5621,bll-bll,-59.672,315.289,11.135,4.604,bll,bll,{},0.183,bll,0.300,0.027,0.353,,0.551,0.458,0.020
4FGL J0006.6+4618,unID-bll,-15.870,114.920,10.761,6.035,,unID,{2},0.065,,7.071,0.031,1.394,,1.929,0.795,0.030
4FGL J0007.0+7303,psr,10.462,119.663,3.773,370.992,PSR,psr,{},0.007,pulsar,1.922,23578.996,0.557,,0.024,0.011,0.980
4FGL J0007.4-0322,unID-bll,-64.025,97.161,11.185,5.635,,unID,{12},0.089,,8.413,0.032,1.986,,,,0.020
