4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J0000.3-7355,unid-bll,-42.730,307.709,8.493,0.052,1.648,0.015,0.184,-0.324,0.004
4FGL J0000.5+0743,unid-bll,-53.029,101.656,5.681,0.153,1.208,0.049,0.909,-0.294,0.002
4FGL J0000.7+2530,unid-bll,-35.959,108.775,4.197,0.083,10.111,0.009,0.753,-0.359,0.007
4FGL J0001.2+4741,bcu-bll,-14.338,114.250,5.524,0.060,0.100,0.043,0.024,0.082,0.005
4FGL J0001.2-0747,bll-bll,-67.305,89.033,24.497,0.030,0.796,0.723,0.102,-0.464,0.001
4FGL J0001.4-0010,bll-bll,-60.491,96.892,5.252,0.059,15.476,0.013,0.265,-0.397,0.005
4FGL J0001.5+2113,fsrq-fsrq,-40.168,107.649,46.426,0.042,0.100,141.801,0.319,-0.302,0.008
4FGL J0001.6+3503,unid-bll,-26.710,111.538,6.475,0.102,1.452,0.059,1.459,-0.150,0.389
4FGL J0001.6-4156,bcu-bll,-72.029,334.226,17.982,0.069,33.178,0.186,0.146,-0.633,0.009
4FGL J0002.1-6728,bll-bll,-48.963,310.085,16.673,0.035,9.325,0.117,0.374,-0.383,0.003
4FGL J0002.1+6721,unid-pulsar,4.939,118.203,6.391,0.155,0.421,1.846,0.519,0.979,0.827
4FGL J0002.3-0815,bcu-bll,-67.848,89.043,5.269,0.068,2.765,0.012,0.294,-0.481,0.004
4FGL J0002.4-5156,bcu-bll,-63.539,319.999,5.811,0.156,7.647,0.009,0.738,-0.579,0.007
4FGL J0002.7+7220,spp-bll,9.829,119.209,5.669,0.111,0.550,0.116,0.282,0.424,0.008
4FGL J0002.8+6217,psr,-0.051,117.320,35.793,0.034,0.829,23.324,0.792,0.808,0.998
4FGL J0003.1-5248,bcu-bll,-62.789,318.990,19.605,0.033,14.963,0.138,0.095,-0.552,0.006
4FGL J0003.1-1543,sey-bll,-74.024,75.988,4.728,0.105,4.589,0.007,0.396,-0.549,0.004
4FGL J0003.2+2207,bll-bll,-39.381,108.439,5.552,0.097,4.823,0.032,2.000,-0.285,0.014
4FGL J0003.3-0703,bcu-bll,-66.915,91.095,4.739,0.125,27.758,0.010,0.223,-0.385,0.006
4FGL J0003.3+2511,unid-fsrq,-36.411,109.382,8.634,0.102,0.879,0.097,0.684,-0.324,0.008
4FGL J0003.3-1928,bcu-fsrq,-76.581,65.198,16.836,0.071,0.820,0.300,0.468,-0.648,0.002
4FGL J0003.3-5905,bcu-bll,-56.966,314.239,8.187,0.129,0.100,0.066,-0.012,-0.575,0.005
4FGL J0003.5+0717,bcu-bll,-53.674,102.594,5.473,0.093,2.234,0.023,0.930,-0.249,0.003
4FGL J0003.6+3059,unid-pulsar,-30.772,111.004,14.015,0.081,1.660,0.308,1.329,-0.235,0.998
4FGL J0003.9-1149,bll-bll,-71.075,84.595,13.405,0.052,1.330,0.118,0.404,-0.546,0.082
4FGL J0004.0+5715,unid-bll,-5.023,116.526,9.074,0.085,0.415,0.358,0.306,0.489,0.056
4FGL J0004.0+0840,bll-bll,-52.398,103.496,6.878,0.082,4.612,0.049,0.875,-0.216,0.002
4FGL J0004.3+4614,fsrq-fsrq,-15.855,114.489,11.246,0.084,0.118,1.731,0.280,-0.062,0.004
4FGL J0004.4-4737,fsrq-fsrq,-67.538,323.986,23.339,0.045,0.100,1.239,0.142,-0.615,0.007
4FGL J0004.4-4001,unid-bll,-73.845,336.991,11.001,0.136,0.721,0.061,0.186,-0.654,0.003
4FGL J0005.5+6634,unid-pulsar,4.110,118.389,4.592,0.183,0.355,1.678,0.809,0.961,0.898
4FGL J0005.6+6746,unid-pulsar,5.282,118.608,4.460,0.189,0.434,1.255,0.829,0.922,0.970
4FGL J0005.9+3824,fsrq-fsrq,-23.613,113.232,16.087,0.093,0.121,3.865,0.372,-0.113,0.001
4FGL J0006.3-1813,unid-bll,-76.319,71.150,4.288,0.082,0.493,0.006,0.090,-0.584,0.007
4FGL J0006.3-0620,bll-bll,-66.625,93.647,5.414,0.109,1.362,0.015,0.249,-0.386,0.005
4FGL J0006.4+0135,bll-bll,-59.297,100.477,7.126,0.073,3.525,0.029,0.688,-0.404,0.004
